batch,algo,reward,wait,runtime
0,Hungarian,-0.0,47.173189646716175,0.303324699998484
1,Stable,-0.0,41.60588327325289,0.004887600000074599
2,Hungarian,-0.5,70.63375382972757,0.029486799998267088
3,Stable,-0.5,81.62732913895239,0.007291099998838035
4,Stable,-0.5,137.81207954393508,0.005114600000524661
5,Hungarian,-1.0,175.31250934227646,0.64651010000307
6,Stable,-0.5,181.1462141308475,0.002667900000233203
7,Stable,-0.45058383044244943,167.3551168312963,0.002410300003248267
8,Stable,-0.4584264478064159,169.5438396748111,0.0022117000007710885
9,Stable,-0.5,233.86498895622842,0.0016078000007837545
10,Stable,-0.5,234.0917698807946,0.002254499999253312
11,Stable,-0.5,273.9356910639758,0.001812999998946907
12,Stable,-0.5,572.6527182802998,0.0013674000001628883
13,Stable,-0.44712230159912325,520.7241334119212,0.0010855000000447035
14,Stable,-0.5,969.948565394933,0.0008302999995066784
15,Stable,-0.125838019441395,369.3486567990706,0.0005180999978620093
16,Stable,-0.14467875220527723,399.59155416393094,0.000527299998793751
17,Stable,-0.12442834239667235,367.08586167770073,0.0007296000003407244
18,Stable,-0.08980022026232233,313.29688101215237,0.0007311999979719985
19,Stable,-0.023148194658020472,267.94300078017847,0.0011255999997956678
20,Stable,-0.09385755232609864,372.22320525976164,0.0009554999996908009
21,Stable,-0.03849161010705007,321.9856497524398,0.0008482999983243644
22,Stable,-0.09250467754458971,397.8205975585695,0.0018095999985234812
23,Stable,-0.0,236.70227832478955,0.0015196000022115186
24,Stable,-0.0,231.11611577282886,0.002714699996431591
25,Stable,-0.08980749982032382,261.3768315789046,0.0014077000014367513
26,Stable,-0.0,202.30430743547052,0.00493339999957243
27,Stable,-0.0,44.23085884686614,0.002891500000259839
28,Stable,-0.1324204856257466,137.87590867183536,0.004086299999471521
29,Stable,-0.27798684152270087,240.81744816547314,0.002774700002191821
30,Stable,-0.16908798835252975,163.8064140885832,0.005810500002553454
31,Hungarian,-0.5966292933424888,112.56511201660045,4.762769200002367
32,Hungarian,-0.7914444091619254,250.33436381597008,5.505918999999267
33,Stable,-0.15026757633741364,109.4908569146132,0.003577300001779804
34,Hungarian,-0.7366766417441458,147.0176180358356,5.708381800002826
35,Stable,-0.23798964471278938,147.58784464948792,0.004424900002049981
36,Stable,-0.23639310105193095,141.67375220150322,0.0035257000017736573
37,Stable,-0.33906743380071747,183.99683190128113,0.006826099997851998
38,Stable,-0.37971580089262164,216.45186696176162,0.007183500001701759
39,Stable,-0.0,92.891741635861,0.002501000002666842
40,Hungarian,-0.5283519545927833,101.81935378589937,9.095681000002514
41,Stable,-0.23571576835804528,167.11515895484067,0.005039699997723801
42,Stable,-0.0894341590537765,121.05323866366003,0.009119800000917166
43,Hungarian,-0.9451173613163308,202.88925553382106,9.272234200001549
44,Stable,-0.5,252.1647299457576,0.004770300001837313
45,Stable,-0.0,56.09072805321477,0.006768200000806246
46,Stable,-0.3433704337959445,190.74275822511333,0.004735700000310317
47,Stable,-0.35003966132394543,193.35808248700744,0.007099200000084238
48,Stable,-0.0,25.243642341628505,0.006014100003085332
49,Stable,-0.0,0.0,0.004207999998470768
50,Stable,-0.2538215840602646,128.0097023979221,0.01208549999864772
51,Stable,-0.3416128886408392,172.28544362021478,0.004998299998987932
52,Stable,-0.21529371273574913,108.57896186205939,0.006098400001064874
53,Stable,-0.3666542443354323,184.91453701262023,0.004821399998036213
54,Hungarian,-0.8082071877907526,155.4379645531931,5.840384399998584
55,Stable,-0.10665084593632017,41.243606131728235,0.004658899997593835
56,Stable,-0.5,200.3468903186769,0.0063102000021899585
57,Stable,-0.36182527585351837,144.98113771189972,0.004306999999243999
58,Stable,-0.5,200.58560142609826,0.006373100000928389
59,Stable,-0.4517996364340784,181.2490035964443,0.002211299997725291
60,Stable,-0.5,228.79743943486312,0.003907900001649978
61,Stable,-0.18575490919957707,110.9216966822411,0.006377900001098169
62,Stable,-0.5,258.63222686430925,0.005830699999933131
63,Stable,-0.2879096958465357,166.42018948295885,0.005790399998659268
64,Stable,-0.35409334129472353,195.19533228103026,0.006689100002404302
65,Stable,-0.33954181881505,188.86866147819953,0.007016399998974521
66,Stable,-0.1499533033843513,155.2210605731512,0.005192399999941699
67,Stable,-0.037739836731879015,122.07083926754218,0.005666500001098029
68,Stable,-0.16323570029518428,159.1449603527268,0.005980099998851074
69,Stable,-0.0,106.8486771145003,0.004690000001573935
70,Stable,-0.37722361694270795,221.36135637255308,0.004819800000404939
71,Stable,-0.3215216438716669,204.4520699709713,0.0055041000014171
72,Stable,-0.0,63.99251646080421,0.00396569999793428
73,Stable,-0.5,255.60438699935298,0.0075837000003957655
74,Stable,-0.3119548383640061,183.5410166657599,0.004319199997553369
75,Stable,-0.0,51.61427951750295,0.0041702000016812235
76,Stable,-0.4662887530148765,241.8508652076679,0.006708299999445444
77,Stable,-0.03394690456818948,65.46394494058511,0.0044406999986676965
78,Stable,-0.4690222799856332,242.9660901288063,0.009231700001691934
79,Stable,-0.3706677964517941,202.83940679402693,0.008671700001286808
80,Stable,-0.5,282.45939217249116,0.008067899998422945
81,Stable,-0.23474143009349116,159.99210326695297,0.006325199999992037
82,Stable,-0.0749433437100256,86.21488876046767,0.008478600000671577
83,Stable,-0.2278767080384082,156.82272819465135,0.0064407999998365995
84,Stable,-0.2940377784461862,187.3686476979676,0.006804100001318147
85,Stable,-0.5,285.42495335402697,0.0049319999998260755
86,Stable,-0.14481705669612036,129.17215659327553,0.006682200000796001
87,Stable,-0.25391306785344886,177.1658938493757,0.0029305999996722676
